Label,cleaned_review_text,count_positive_words,count_negative_words,contain_no,contain_not,contain_exclamation,log_review_length,emotion_label,sentiment_score
0,  weak vibration,0,2,0,0,0,2.772588722239781,2,-0.375
0,not the good value,1,0,0,1,0,2.8903717578961645,1,0.7
0,trouble with graphic,0,1,0,0,0,2.995732273553991,2,-0.1
1,camera spotlight picture caller i d huge internal screen just about everything on this phone be custimizilebe button open flip great speaker phone,1,0,0,0,0,4.983606621708336,2,0.3
1,size look ir modem global roam battery life voice dialing user interface,0,0,0,0,0,4.276666119016055,0,0.0
0,have not find any yet,0,0,0,1,0,3.044522437723423,2,0.0
0,durability small internal memory battery life no optical zoom viewfinder dock not need,0,0,1,1,0,4.454347296253507,0,-0.125
0,mediocre battery life keypad response,0,1,0,0,0,3.6109179126442243,0,-0.5
0,might be too small for you,0,0,0,0,0,3.258096538021482,0,-0.25
1,uncomfortable for baby,0,1,0,0,0,3.091042453358316,1,-0.5
0,hard to tell when you be out of ink,0,1,0,0,0,3.5553480614894135,2,-0.2916666666666667
0,poor screen visibility in sunlight weird problem when change mode some difficulty in use advanced setting,1,4,0,0,0,4.653960350157523,0,-0.16666666666666666
1,aesthetic speakerphone battery life,0,0,0,0,0,3.5553480614894135,0,0.0
0,zoom be less than perfect feature menu cumbersome include software not up to snuff,1,1,0,1,0,4.406719247264253,1,0.4166666666666667
1,pick up a signal everywhere great for travel sturdy not too small a dependable cellphone,3,0,0,1,0,4.477336814478207,1,0.275
0,slow to save image polaroid,0,1,0,0,0,3.295836866004329,1,-0.30000000000000004
0,I have not find any yet,0,0,0,1,0,3.1354942159291497,2,0.0
1,good battery life price overall good performance,2,0,0,0,0,3.871201010907891,1,0.4666666666666666
1,auto dual sided feature quiet neat design,2,0,0,0,0,3.713572066704308,1,0.0
1,small light stylish intuitive menu feature rich external lcd display solid feel large phone book well build,5,0,0,0,0,4.672828834461906,1,0.1770408163265306
1,outstanding photo quality and also high quality text print on plain paper,1,0,0,0,0,4.290459441148391,1,0.14857142857142858
1,cheap basic ok starter phone,0,1,0,0,0,3.332204510175204,0,0.3
1,fast to operate great printing easy to install to computer wonderful for fax,4,0,0,0,0,4.330733340286331,1,0.6083333333333334
0,layout battery,0,0,0,0,0,2.6390573296152584,0,0.0
1,good picture quality simple to use good owner manual,2,0,0,0,0,3.9512437185814275,1,0.4666666666666666
0,some ring be hard to hear but that be not a big deal at all,0,1,0,1,0,4.07753744390572,1,-0.14583333333333334
1,feature feature feature great support software,2,0,0,0,0,3.828641396489095,1,0.8
1,quality battery lifetime,0,0,0,0,0,3.1780538303479458,0,0.0
1,good only if you want to print letter or simple report in black ink,1,0,0,0,0,4.204692619390966,1,0.13333333333333333
1,compact elegant design easy to setup and operate good print quality,4,0,0,0,0,4.204692619390966,1,0.5444444444444444
1,inexpensive easy to use many option support wide variety of paper size,4,0,0,0,0,4.248495242049359,1,0.2777777777777778
0,none,0,0,0,0,0,1.3862943611198906,2,0.0
0,a lot of people have the same phone,0,0,0,0,0,3.5553480614894135,2,0.0
1,high quality image durable !,1,0,0,0,1,3.332204510175204,1,0.2
1,the good look phone out there,1,0,0,0,0,3.367295829986474,1,0.7
0,hard to find a cover all the cover be a snap on plastic,0,1,0,0,0,4.007333185232471,1,-0.2916666666666667
1,simple and easy to use,1,0,0,0,0,3.091042453358316,2,0.21666666666666667
1,very good for the price,1,0,0,0,0,3.1354942159291497,1,0.9099999999999999
0,easily breakable screen short battery life,0,0,0,0,0,3.7376696182833684,0,0.21666666666666667
0,same problem as all non pro digital camera shutter lag and startup time,0,2,0,0,0,4.2626798770413155,0,0.0
0,photo be mediocre lighting can effect web camera adversely,0,1,0,0,0,4.060443010546419,0,-0.5
1,photo quality print big x enlargement seperate ink cartridge,0,0,0,0,0,4.0943445622221,0,0.0
1,good call quality nice feature,2,0,0,0,0,3.4011973816621555,1,0.6499999999999999
1,fast good black quality,2,0,0,0,0,3.1354942159291497,1,0.24444444444444444
1,high re cheap x zoom,0,1,0,0,0,2.995732273553991,0,0.28
1,  mp x optical zoom and affordable,1,0,0,0,0,3.5263605246161616,2,0.0
1,small size,0,0,0,0,0,2.302585092994046,0,-0.25
0,no downloadable picture,0,0,1,0,0,3.1354942159291497,2,0.0
0,poor quality and eat battery,0,1,0,0,0,3.332204510175204,0,-0.4
0,battery life flimsy rubber port cover,0,1,0,0,0,3.6109179126442243,0,0.0
1,print without jam,0,1,0,0,0,2.833213344056216,1,0.0
0,a few upgrade necessary to get maximum performance,0,0,0,0,0,3.912023005428146,1,-0.1
1,small lightweight and it have a screen on the outside,0,0,0,0,0,3.970291913552122,0,-0.125
0,take up a lot of space on a desk,0,0,0,0,0,3.4657359027997265,2,0.0
0,no off switch slow processing not print speed,0,1,1,1,0,3.8066624897703196,2,-0.30000000000000004
1,well it do take decent picture,2,0,0,0,0,3.4011973816621555,1,0.16666666666666666
1,great picture ease of use,2,0,0,0,0,3.2188758248682006,1,0.8
0,big footprint,0,0,0,0,0,2.5649493574615367,2,0.0
1,good quality for the price,1,0,0,0,0,3.258096538021482,1,0.7
1,battery life usability sound,0,0,0,0,0,3.332204510175204,0,0.4
1,compact indiglo evironment feature,1,0,0,0,0,3.5263605246161616,1,0.0
1,small great feature easy to use ringtone composer,2,0,0,0,0,3.8918202981106265,1,0.3277777777777778
0,button size and delay between screen,0,1,0,0,0,3.58351893845611,0,0.0
1,text output be sharp color picture be good,2,0,0,0,0,3.7376696182833684,1,0.2875
0,small key,0,0,0,0,0,2.1972245773362196,0,-0.125
0,connection problem,0,1,0,0,0,2.8903717578961645,0,0.0
0,not good for print label,1,0,0,1,0,3.1780538303479458,1,-0.35
1,very compact and lightweight !,1,0,0,0,1,3.4011973816621555,1,0.25
0,bad quality overall camera ring tone graphic be all bad,0,2,0,0,0,4.007333185232471,0,-0.3499999999999999
0,too bad you can not use gb flash for mp,0,1,0,1,0,3.6635616461296463,0,-0.6999999999999998
1,very high quality at a low cost,0,0,0,0,0,3.4339872044851463,2,0.10400000000000001
1,wow ! awesome quality hp name fast usb and parallel capable,4,0,0,0,1,4.07753744390572,2,0.305
0,break right away new ink cost as much as printer,1,1,0,0,0,3.871201010907891,1,0.20735930735930733
1,long life battery very reliable,1,0,0,0,0,3.4339872044851463,1,0.07500000000000001
1,great price high quality print great output on all kind of paper etc etc etc,2,0,0,0,0,4.330733340286331,1,0.5900000000000001
0,bulky and large,0,1,0,0,0,2.70805020110221,2,0.21428571428571427
0,cartridge but I think they be all expensive !,0,1,0,0,1,3.8066624897703196,0,-0.625
1,simple to use no expensive memory stick or flash card use floppy,0,1,1,0,0,4.1588830833596715,2,0.125
0,battery life,0,0,0,0,0,2.4849066497880004,0,0.0
0,battery life,0,0,0,0,0,2.4849066497880004,0,0.0
0,no build in lens cover too big to fit in coat pocket,0,0,1,0,0,3.9512437185814275,1,0.2
0,none so far,0,0,0,0,0,2.3978952727983707,2,0.1
1,good value for money,1,0,0,0,0,2.995732273553991,1,0.7
1,friendly interface can set different ring for each number in your phone book calendar to do list,1,0,0,0,0,4.564348191467836,1,0.1875
0,frequent break down,0,1,0,0,0,2.9444389791664403,1,-0.027777777777777776
0,earpiece volume motorola technical support be worthless,1,1,0,0,0,4.007333185232471,0,-0.4
0,battery take hour to charge,0,0,0,0,0,3.295836866004329,0,0.0
1,cheap,0,1,0,0,0,1.6094379124341003,0,0.4
0,everything else,0,0,0,0,0,2.70805020110221,2,0.0
1,  megapixel never need film again process your own picture excellent user guide,1,0,0,0,0,4.3694478524670215,1,0.8
1,lightweight,0,0,0,0,0,2.3978952727983707,2,0.0
1,easy to use quick upload,1,0,0,0,0,3.1780538303479458,2,0.3833333333333333
1,fast precise high quality,2,0,0,0,0,3.2188758248682006,1,0.25333333333333335
0,lackluster mediocrity poorly think through design,0,3,0,0,0,3.8918202981106265,0,-0.30000000000000004
0,short battery life uncommon accessory jack lack we frequency,0,1,0,0,0,4.0943445622221,0,0.4
0,regular paper printing,0,0,0,0,0,3.091042453358316,2,0.0
1,fast than average printing easy to use amp it be an hp !,2,0,0,0,1,4.02535169073515,2,0.19722222222222227
0,awkward menus mb memory a shame no leather carry case bad memory indicator,0,3,1,0,0,4.30406509320417,0,-0.6499999999999999
1,very small and stealthy,0,0,0,0,0,3.1354942159291497,0,-0.325
1,light weight high speed !,0,0,0,0,1,3.2188758248682006,1,0.30000000000000004
0,lt I gt difficult to install win driver lt I gt,1,1,0,0,0,3.8501476017100584,2,0.15000000000000002
1,a small lightweight nearly professional powerhouse,0,0,0,0,0,3.912023005428146,1,-0.075
1,it work !,1,0,0,0,1,2.1972245773362196,2,0.0
1,everything,0,0,0,0,0,2.302585092994046,2,0.0
0,like all digital camera dynamic range of contrast be poor compare to film,2,1,0,0,0,4.290459441148391,1,-0.13333333333333333
1,price feature,0,0,0,0,0,2.5649493574615367,1,0.0
1,use very little ink so cartridge last self cleaning printer head easy set up,1,0,0,0,0,4.330733340286331,2,0.06319444444444444
0,do not use standard hand free,1,0,0,1,0,3.367295829986474,2,0.2
1,easy to use simple feature adequate range and power,2,0,0,0,0,3.9318256327243257,1,0.25555555555555554
0,need a lot of light,0,0,0,0,0,2.9444389791664403,2,0.4
0,not as good macro capability without add on lense as nikon coolpix,2,0,0,1,0,4.189654742026425,1,0.7
1,beautiful screen easy to use pack with feature,2,0,0,0,0,3.828641396489095,1,0.6416666666666666
1,inexpensive,1,0,0,0,0,2.3978952727983707,1,0.0
0,horrible image quality pathetic battery life no focus the list go on,0,2,1,0,0,4.219507705176107,0,-1.0
1,feature pack for the money web enable handy size good sound quality,2,0,0,0,0,4.204692619390966,1,0.5666666666666665
0,be a bit expensive when I buy it but the price have since decrease,0,1,0,0,0,4.189654742026425,0,-0.5
0,low battery warning suck memory chip some feature difficult to access zoom be temperamental,0,3,0,0,0,4.51085950651685,0,-0.25
1,nice support personnel at epson,2,0,0,0,0,3.4339872044851463,2,0.6
1,inexpensive high quality print out easy set up,2,0,0,0,0,3.828641396489095,1,0.2966666666666667
0,drop call and shut down without warn nor because,0,0,0,0,0,3.871201010907891,1,-0.15555555555555556
0,deceptive advertising hair trigger faulty port,0,2,0,0,0,3.828641396489095,0,0.0
0,battery eater power button placement parallel cable mean slow download,0,1,0,0,0,4.248495242049359,0,-0.2041666666666667
1,state elsewhere,0,0,0,0,0,2.70805020110221,2,0.0
1,small lightweight sleek durable,2,0,0,0,0,3.4339872044851463,1,-0.25
1,great call quality nice form factor voice dialing work great,4,0,0,0,0,4.0943445622221,2,0.7333333333333334
1,extremely perfect quality lot of great feature perfect for e mail,3,0,0,0,0,4.174387269895637,1,0.9333333333333332
1,easy to use !,1,0,0,0,1,2.5649493574615367,2,0.5416666666666667
0,phonebook can get use to it alarm must be set with hour clock,0,1,0,0,0,4.110873864173311,2,0.0
1,size clarity signal strength and decent talk time,2,0,0,0,0,3.8918202981106265,1,0.16666666666666666
0,slow no stand alone fax,0,1,1,0,0,3.1354942159291497,2,-0.30000000000000004
1,small design easy navigation excellent clarity,3,0,0,0,0,3.828641396489095,1,0.39444444444444443
1,price,0,0,0,0,0,1.6094379124341003,2,0.0
1,take up less space than a regular double stroller,0,0,0,0,0,3.8918202981106265,2,-0.05555555555555555
0,poor construction serious static and connection problem,0,3,0,0,0,4.007333185232471,0,-0.07777777777777779
1,not one !,0,0,0,1,1,2.1972245773362196,2,0.0
0,lousy user manual very unintuitive os,0,1,0,0,0,3.6109179126442243,1,-0.15
0,I wish the strap attatche at point like a mm slr,1,0,0,0,0,3.871201010907891,2,0.0
1,reception battery life menu,0,0,0,0,0,3.295836866004329,0,0.0
0,paper tray too short,0,0,0,0,0,2.995732273553991,2,0.0
1,lightweight great picture quality at an affordable price,2,0,0,0,0,4.02535169073515,2,0.8
0,battery live durability ring volume and tone after sale service,0,0,0,0,0,4.143134726391533,2,0.13636363636363635
1,automatic key lock be good cute screensaver,2,0,0,0,0,3.7612001156935624,1,0.39999999999999997
0,when turn it on you have to wait for the lens to come out !,0,0,0,0,1,4.07753744390572,2,0.0
0,power cord connection not secure,1,0,0,1,0,3.4657359027997265,2,-0.2
0,no optical zoom small life,0,0,1,0,0,3.258096538021482,0,-0.25
0,use lot of ink fairly slow,1,1,0,0,0,3.258096538021482,1,-0.30000000000000004
1,high resolution low noise significantly improve af quieter,2,1,0,0,0,4.060443010546419,1,0.17833333333333334
1,analog digital cell phone with camera the web and game !,0,0,0,0,1,4.02535169073515,2,-0.25
1,size and feature,0,0,0,0,0,2.772588722239781,1,0.0
0,sony proprietary memory occasionally difficult manual focus,0,2,0,0,0,4.07753744390572,1,-0.5
1,great quality photo,1,0,0,0,0,2.9444389791664403,2,0.8
0,weak batt no cumulative call timer,0,1,1,0,0,3.5263605246161616,2,-0.375
0,lcd screen only have a six month lifespan ringtone be quite sketchy,0,1,0,0,0,4.204692619390966,0,0.0
0,wee bit pricey for slightly less than perfect color output do not include usb cable,1,1,0,1,0,4.418840607796598,1,0.4166666666666667
0,screen a bit difficult to view in bright light,1,1,0,0,0,3.828641396489095,0,0.20000000000000004
0,infant seat attachment make stroller bulky !,0,1,0,0,1,3.784189633918261,1,0.0
0,you have to read the manual to use it,0,0,0,0,0,3.6109179126442243,1,0.0
0,big not user friendly,1,0,0,1,0,3.044522437723423,1,0.1875
1,cheap light small macro big memory good battery life,1,1,0,0,0,3.9512437185814275,1,0.25
0,not network compatible no unix driver,1,0,1,1,0,3.6109179126442243,1,0.0
0,poor cartridge performance problem with paper feeder,0,2,0,0,0,3.9512437185814275,0,-0.4
1,price picture quality ease of use,1,0,0,0,0,3.4965075614664802,1,0.0
1,lightweight well reception small new feature,1,0,0,0,0,3.784189633918261,2,-0.05681818181818182
1,great loudspeaker function trendy x pixel screen resolution,2,0,0,0,0,4.07753744390572,1,0.7
0,ink sucker mechanical difficulty,0,2,0,0,0,3.4657359027997265,0,-0.3
0,no game awkward menus,0,1,1,0,0,3.044522437723423,2,-0.19999999999999998
0,no problem,0,1,1,0,0,2.302585092994046,0,0.0
1,ultraslim aluminum metal case bright display bluetooth loud speakerphone internal antenna,1,1,0,0,0,4.48863636973214,0,0.26666666666666666
1,no paper jam excellent support good price,3,1,1,0,0,3.713572066704308,1,0.85
1,small light easy to use,1,0,0,0,0,3.1354942159291497,0,0.19444444444444445
1,sturdy shortcut key be nice,2,0,0,0,0,3.295836866004329,1,0.3
1,excellent mid lvl digital camera for the professional hobbyist or family fun,2,0,0,0,0,4.330733340286331,1,0.28
1,compact snub antenna good sound color display build in camera nice look phone,3,1,0,0,0,4.343805421853684,1,0.5666666666666668
0,clunky buggy broke look cheap,0,4,0,0,0,3.367295829986474,0,0.4
1,user friendly,1,0,0,0,0,2.5649493574615367,1,0.375
0,no cable in box,0,0,1,0,0,2.70805020110221,1,0.0
1,voice dialing command interface,0,0,0,0,0,3.4339872044851463,2,0.0
0,use up the battery quickly,0,0,0,0,0,3.258096538021482,0,0.3333333333333333
1,quality color scanning and printing,0,0,0,0,0,3.5553480614894135,2,0.0
0,lag a bit on shutter speed evf be a little blurry auto focus need tweeke,0,2,0,0,0,4.276666119016055,2,-0.1875
0,just alittle aquard,0,0,0,0,0,2.9444389791664403,2,0.0
1,small lightweight great picture quality,1,0,0,0,0,3.6635616461296463,0,0.275
0,do not come with ac adaptor battery recharger and more memory which you need,0,0,0,1,0,4.330733340286331,0,0.5
1,feature menu downloadable ringtone and operator logo good rf and voice quality,1,0,0,0,0,4.356708826689592,1,0.7
0,print slowly,0,1,0,0,0,2.4849066497880004,2,-0.30000000000000004
0,unreliable bulky noisy slow expensive to run,0,5,0,0,0,3.784189633918261,0,-0.4
1,quality option,0,0,0,0,0,2.6390573296152584,1,0.0
1,many feature easy to use stylish,2,0,0,0,0,3.4657359027997265,1,0.4777777777777778
0,poor print quality low resolution slow very noisey,0,2,0,0,0,3.912023005428146,2,-0.125
1,decent quality scan page auto document feeder decent quality print cheap good fax,3,1,0,0,0,4.394449154672439,1,0.35833333333333334
1,quick unbelievable color photo,0,1,0,0,0,3.4011973816621555,0,0.04166666666666666
1,great for web photo,1,0,0,0,0,2.9444389791664403,2,0.8
0,speaker need to be loud monophonic ringtone,0,1,0,0,0,3.7612001156935624,2,0.1
1,nice thing to have around,1,0,0,0,0,3.2188758248682006,2,0.6
1,cool look and screen lot of feature,1,0,0,0,0,3.5553480614894135,1,0.35
1,size light weight ergonomic,0,0,0,0,0,3.295836866004329,1,0.4
1,cheap good quality print for the price fast,2,1,0,0,0,3.7612001156935624,1,0.43333333333333335
1,good picture quality easy to use highly portable rebate through,3,0,0,0,0,4.143134726391533,1,0.43111111111111106
0,poor quality mediocre reception lack of accessory,0,3,0,0,0,3.8918202981106265,0,-0.45
1,web capability tip figure calculator,1,0,0,0,0,3.58351893845611,1,0.0
1,great picture and text quality separate color ink tank be good,2,1,0,0,0,4.127134385045092,1,0.75
1,new low price quality product,0,0,0,0,0,3.367295829986474,2,0.06818181818181818
1,great for beginner !,1,0,0,0,1,2.995732273553991,2,1.0
0,do you read my review,0,0,0,0,0,3.044522437723423,2,0.0
1,simple easy to use convenient,2,0,0,0,0,3.367295829986474,1,0.21666666666666667
1,fun to play with bell and whistle,1,0,0,0,0,3.4965075614664802,1,0.3
0,none that I see yet,0,0,0,0,0,2.9444389791664403,2,0.0
1,compact nice look,2,0,0,0,0,2.833213344056216,1,0.6
1,reception battery life speaker phone,0,0,0,0,0,3.58351893845611,0,0.0
0,the machine be not build for long service be it build in obsolescence,0,0,0,1,0,4.23410650459726,1,-0.05
0,flimsy tray,0,1,0,0,0,2.3978952727983707,2,0.0
1,radio,0,0,0,0,0,1.6094379124341003,1,0.0
0,battery life,0,0,0,0,0,2.4849066497880004,0,0.0
0,nothing,0,0,0,0,0,1.9459101490553132,2,0.0
0,see above,0,0,0,0,0,2.1972245773362196,2,0.0
0,a little slow probably not the good amp quot business machine buy amp quot,1,1,0,1,0,4.30406509320417,1,0.0708333333333333
0,no zoom small memory card,0,0,1,0,0,3.2188758248682006,0,-0.25
0,heavy ink saturation cause rippling of paper frequent cartridge change tendency to clog,0,1,0,0,0,4.465908118654584,0,-0.05
1,great size very convenient extremely user friendly,3,0,0,0,0,3.912023005428146,1,0.3125
1,excellent photo quality ease of use evf,2,0,0,0,0,3.6635616461296463,1,1.0
1,it be fast than the one I replace,1,0,0,0,0,3.4965075614664802,2,0.2
1,space save printer with crisp clear quality,2,0,0,0,0,3.7612001156935624,1,0.175
0,high cost comparatively low battery life,0,0,0,0,0,3.6888794541139363,0,0.08
0,since so many people have this phone whenever you hear one ring you always look and see if it be yours !,0,0,0,0,1,4.6443908991413725,2,0.625
0,slow unreliable eat paper,0,2,0,0,0,3.2188758248682006,1,-0.30000000000000004
1,great reception,1,0,0,0,0,2.70805020110221,2,0.8
1,reliable quality,1,0,0,0,0,2.772588722239781,1,0.0
0,eat battery plan on shell out more money not very high re,0,0,0,1,0,4.04305126783455,1,0.21923076923076923
1,simple to use,0,0,0,0,0,2.5649493574615367,2,0.0
1,price speed quality of printout,0,0,0,0,0,3.4339872044851463,2,0.0
1,good picture quality long battery life very easy to use,2,0,0,0,0,4.007333185232471,1,0.40444444444444444
1,large phone memory simple dialing,0,0,0,0,0,3.4965075614664802,2,0.10714285714285714
0,picture quality could be well bulky,1,1,0,0,0,3.5553480614894135,2,0.0
1,price quality value ease of use,1,0,0,0,0,3.4339872044851463,1,0.0
1,great lcd low price compact rugge,2,0,0,0,0,3.4965075614664802,1,0.4
1,ok reception nice ringtone quality small and light,1,0,0,0,0,3.912023005428146,0,0.3125
1,great sound quality excellent feature stylish look small and compact durable,5,0,0,0,0,4.330733340286331,1,0.49000000000000005
1,inexpensive small form factor footprint relatively simple paper feed,1,0,0,0,0,4.219507705176107,2,-0.125
1,super quality machine and so far have the hp reliability,1,0,0,0,0,4.02535169073515,1,0.21666666666666667
0,nec should send these out with a full toner cartridge instead of half,0,0,0,0,0,4.23410650459726,2,0.09166666666666666
0,expensive ink,0,1,0,0,0,2.5649493574615367,2,-0.5
1,they be always below,0,0,0,0,0,2.995732273553991,2,0.0
0,too many menus button to view last shot take,0,0,0,0,0,3.784189633918261,0,0.25
0,no ac adapter no lens adapter,0,0,1,0,0,3.367295829986474,2,0.0
1,can be use in over country light voice dial cool look,1,0,0,0,0,3.970291913552122,1,0.375
0,if your use to nokia then this be very different,0,0,0,0,0,3.871201010907891,2,0.0
0,no bluetooth expensive,0,1,1,0,0,3.091042453358316,2,-0.5
0,battery can go fast if you do not get good one,2,0,0,1,0,3.828641396489095,1,0.44999999999999996
1,compact lightweight user friendly affordable high quality photo,3,0,0,0,0,4.143134726391533,1,0.2675
1,size feature great image quality sony brand,1,0,0,0,0,3.7612001156935624,1,0.8
0,short battery life but samsung give you an extended battery free,1,0,0,0,0,4.1588830833596715,0,0.2
0,none amp amp,0,0,0,0,0,2.4849066497880004,2,0.0
0,take a few second to take the picture,0,0,0,0,0,3.6109179126442243,2,-0.1
0,for a little more money you can get more phone in the sanyo !,0,0,0,0,1,4.110873864173311,1,0.3125
0,need extra smart card almost immediately,1,0,0,0,0,3.6888794541139363,1,0.10714285714285714
1,image quality ability to use nikon lense option,0,0,0,0,0,3.8501476017100584,1,0.0
0,impossible setup,0,1,0,0,0,2.772588722239781,0,-0.6666666666666666
0,standard accessory do not work well not many aftermarket accessory available,3,0,0,1,0,4.330733340286331,2,0.05000000000000001
1,look lcd flip phone calendar phonebook voicedial,0,0,0,0,0,3.871201010907891,2,0.0
1,screen be easy to read,1,0,0,0,0,3.091042453358316,2,0.43333333333333335
1,stunning quality always ready to shoot many adjustment infrared focus,2,0,0,0,0,4.23410650459726,0,0.39999999999999997
0,slow color printing expensive toner,0,2,0,0,0,3.5553480614894135,2,-0.4
0,no external card memory small menu key,0,0,1,0,0,3.6375861597263857,0,-0.08333333333333333
1,cheap,0,1,0,0,0,1.6094379124341003,0,0.4
1,awesome color print on canon specialty paper individually replaceable color cartridge,2,0,0,0,0,4.442651256490317,0,0.5
0,occasionally will not feed envelope smudge,0,1,0,1,0,3.7376696182833684,0,0.0
1,easy to use durable,2,0,0,0,0,2.9444389791664403,1,0.43333333333333335
0,ring vibrate could be louder strong faceplate dent easily charger port cover be not tether to phone,1,3,0,1,0,4.59511985013459,1,0.43333333333333335
1,good action pic,1,0,0,0,0,2.70805020110221,1,0.39999999999999997
1,a great home office printer that do a fabulous job on photo,2,0,0,0,0,4.07753744390572,1,0.6000000000000001
1,reliable as a point and shoot camera in most condition,1,0,0,0,0,3.9889840465642745,0,0.5
1,quality photo amp quot diskette media storage x zoom steady shoot auto focus,1,0,0,0,0,4.330733340286331,2,0.16666666666666666
0,kind of flimsy,0,1,0,0,0,2.6390573296152584,1,0.6
1,rechargeable battery quick usb download of photo second movie in camera editing of pic,0,0,0,0,0,4.454347296253507,0,0.16666666666666666
0,can not accept alkaline battery small include memory card,0,0,0,1,0,4.04305126783455,0,-0.25
0,not much,0,0,0,1,0,2.0794415416798357,2,-0.1
1,portability extra option styling,0,0,0,0,0,3.4657359027997265,1,0.0
0,lot of technical glitch,0,1,0,0,0,3.1354942159291497,2,0.0
0,poor image quality flash too strong at short range then drop off quickly,1,1,0,0,0,4.276666119016055,2,0.09166666666666666
0,  I be sorry could you repeat that say again what be that huh,0,1,0,0,0,4.110873864173311,2,-0.5
1,size,0,0,0,0,0,1.3862943611198906,2,0.0
0,of course it do not have all the modern feature,1,0,0,1,0,3.8501476017100584,1,0.2
0,expensive,0,1,0,0,0,2.1972245773362196,2,-0.5
0,feel more like a toy,1,0,0,0,0,2.995732273553991,2,0.5
1,comfortable handle cup holder nice canopy back support recline seat option substantial wheel cup holder !,3,0,0,0,1,4.653960350157523,1,0.3333333333333333
1,futuristic look attract attention nice feature the good out there,3,0,0,0,0,4.174387269895637,1,0.6499999999999999
0,not as cool as other cell phone on the market,1,0,0,1,0,3.8066624897703196,1,0.11249999999999999
0,drop call be soooo annoying ! bad earpiece the ring be very quiet,1,2,0,0,1,4.174387269895637,0,-0.5666666666666665
0,hard to read display selection wheel be temperamental,0,1,0,0,0,3.970291913552122,2,-0.2916666666666667
1,floppy storage incredible zoom view finder,1,0,0,0,0,3.7376696182833684,2,0.9
1,great size very intuitive good zoom,3,0,0,0,0,3.5553480614894135,1,0.5666666666666667
0,take awhile to learn all of the control but once you do wow !,1,0,0,0,1,4.110873864173311,1,0.125
1,cheap than buy film,0,1,0,0,0,2.9444389791664403,0,0.4
